iter	Passed	Remaining
0	2	2060
1	3	1531
2	4	1332
3	5	1257
4	6	1230
5	7	1206
6	8	1180
7	9	1149
8	10	1134
9	11	1125
10	12	1115
11	13	1106
12	14	1099
13	15	1101
14	16	1097
15	17	1091
16	18	1080
17	19	1068
18	20	1056
19	21	1049
20	22	1044
21	23	1036
22	24	1030
23	24	1014
24	25	1012
25	26	1010
26	27	1006
27	28	1000
28	29	997
29	30	996
30	31	995
31	32	992
32	33	990
33	34	986
34	35	984
35	36	981
36	37	978
37	38	977
38	39	975
39	40	973
40	41	972
41	42	970
42	43	957
43	43	955
44	44	953
45	45	951
46	46	950
47	47	951
48	48	949
49	49	947
50	50	945
51	51	942
52	52	940
53	53	938
54	54	936
55	55	934
56	56	933
57	57	931
58	58	929
59	59	927
60	60	925
61	61	923
62	61	921
63	62	920
64	64	920
65	64	919
66	65	917
67	66	915
68	67	913
69	68	911
70	69	909
71	70	908
72	71	907
73	72	906
74	73	905
75	74	904
76	75	903
77	76	902
78	77	901
79	78	900
80	79	900
81	80	899
82	81	897
83	82	894
84	82	892
85	83	889
86	84	887
87	85	884
88	86	882
89	87	879
90	87	877
91	88	875
92	89	873
93	90	871
94	91	870
95	92	868
96	93	867
97	94	867
98	95	867
99	96	866
100	97	866
101	98	865
102	99	864
103	99	858
104	100	857
105	101	855
106	102	854
107	103	852
108	104	851
109	105	849
110	105	848
111	106	846
112	107	845
113	108	843
114	109	842
115	110	843
116	112	846
117	113	846
118	114	845
119	115	844
120	116	844
121	117	843
122	118	842
123	119	841
124	119	839
125	120	838
126	121	837
127	122	836
128	123	835
129	124	834
130	125	834
131	127	835
132	128	835
133	129	834
134	130	835
135	131	834
136	132	833
137	133	832
138	134	831
139	134	829
140	135	828
141	136	827
142	137	826
143	138	825
144	139	824
145	140	823
146	141	822
147	142	822
148	144	822
149	145	824
150	146	823
151	147	822
152	148	821
153	149	820
154	150	819
155	151	818
156	152	819
157	153	818
158	154	817
159	155	816
160	156	815
161	157	815
162	158	815
163	160	816
164	161	816
165	162	815
166	163	814
167	164	813
168	165	812
169	166	811
170	167	812
171	168	811
172	169	810
173	170	809
174	171	808
175	172	807
176	173	806
177	175	809
178	176	808
179	177	808
180	178	808
181	179	807
182	180	806
183	182	807
184	183	807
185	184	806
186	185	806
187	186	805
188	187	804
189	188	805
190	190	805
191	191	804
192	192	803
193	193	803
194	194	802
195	195	801
196	196	800
197	197	799
198	198	798
199	199	797
200	200	796
201	201	795
202	202	795
203	203	795
204	205	795
205	206	794
206	207	793
207	208	792
208	209	791
209	210	790
210	211	789
211	212	789
212	213	788
213	214	788
214	215	787
215	216	787
216	218	787
217	219	787
218	220	787
219	221	786
220	222	785
221	224	785
222	225	785
223	227	787
224	228	786
225	229	786
226	230	785
227	232	786
228	233	785
229	234	785
230	235	785
231	236	784
232	238	785
233	239	785
234	240	784
235	241	783
236	243	783
237	244	783
238	246	784
239	248	786
240	249	786
241	251	788
242	253	789
243	254	789
244	256	790
245	257	790
246	259	789
247	260	791
248	262	790
249	263	789
250	264	788
251	266	790
252	268	792
253	270	793
254	271	793
255	272	792
256	274	792
257	275	792
258	276	791
259	277	790
260	278	789
261	279	788
262	281	789
263	283	790
264	284	790
265	286	789
266	287	788
267	288	789
268	290	788
269	291	787
270	292	785
271	293	784
272	294	783
273	296	784
274	298	787
275	300	787
276	302	789
277	303	789
278	304	787
279	305	786
280	307	785
281	308	784
282	309	784
283	312	787
284	315	791
285	318	795
286	320	797
287	322	796
288	323	795
289	324	794
290	325	793
291	327	793
292	329	794
293	331	795
294	332	794
295	333	793
296	334	791
297	335	790
298	336	789
299	337	788
300	338	787
301	339	785
302	340	784
303	342	784
304	344	785
305	347	787
306	348	786
307	349	785
308	350	783
309	351	782
310	352	781
311	353	780
312	354	778
313	355	777
314	356	775
315	358	776
316	360	775
317	362	776
318	363	775
319	364	773
320	365	772
321	366	771
322	367	769
323	368	768
324	369	766
325	370	765
326	371	763
327	372	762
328	374	763
329	376	764
330	377	763
331	378	761
332	379	760
333	381	759
334	382	758
335	383	756
336	383	755
337	384	753
338	385	752
339	387	751
340	389	752
341	391	752
342	392	751
343	393	751
344	395	750
345	396	748
346	397	747
347	398	745
348	399	744
349	399	742
350	401	742
351	402	741
352	404	741
353	406	740
354	407	740
355	408	739
356	409	737
357	410	736
358	411	735
359	413	734
360	414	733
361	415	732
362	416	731
363	417	729
364	419	729
365	421	729
366	423	729
367	424	728
368	425	726
369	426	726
370	427	725
371	428	723
372	429	722
